2026-06-08 13:58:46 | POST | /api/products | 400 | CorrelationId: 
2026-06-08 14:10:37 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:11:50 | GET | /api/Products/733c98e9-137e-4d7e-9298-994422229ed9 | 200 | CorrelationId: 
2026-06-08 14:13:16 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:13:54 | GET | /api/Products/67d5d1a1-fc82-4ca4-b3c1-e078a8436813 | 200 | CorrelationId: 
2026-06-08 14:14:31 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:14:52 | GET | /api/Products/c934caea-ac72-4c23-a3a4-3d64c77fa60b | 200 | CorrelationId: 
2026-06-08 14:28:59 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:29:03 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:29:11 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:29:15 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:29:20 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:29:24 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:29:28 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:29:32 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:29:36 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:29:39 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:29:41 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:29:46 | POST | /api/products | 201 | CorrelationId: 
2026-06-08 14:30:08 | GET | /api/Products | 200 | CorrelationId: 
2026-06-08 14:33:13 | POST | /api/Products | 201 | CorrelationId: 
2026-06-08 14:33:40 | GET | /api/Products | 200 | CorrelationId: 
2026-06-08 14:42:53 | GET | /api/Products | 200 | CorrelationId: 
2026-06-08 14:54:10 | GET | /api/Products | 200 | CorrelationId: 
2026-06-08 14:54:33 | GET | /api/Products | 200 | CorrelationId: 
